reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOGDGmloufZoSVfftkTfJ_RMOYLTVjaEoW2wul0cwKLZzjOv8w2EPmbCuldRiuUU_zlfHYH3p_nZ_3LAPzk,Ibnu Sutrisna,https://play-lh.googleusercontent.com/a/AATXAJwpyBvPLdGhgNEld2BVi2gXpiWHsblOpDg4NVks=mo,"Kalau bisa pemakaian limit paylater jangan di pakai minimaal order, kalau pakai minimal order gitu, limit nya otomatis gak bisa di gunain untuk pembelian token maupun pulsa, biar lebih bermanfaat aja gitu kegunaan limitnya tks",3,6,3.3.0,2018-09-16 23:18:21,Terima kasih telah menggunakan aplikasi Traveloka. Kami akan menjadikan ini sebagai masukan untuk pengembangan produk kami selanjutnya. Traveloka terus berusaha melengkapi dan meningkatkan layanan kami untuk pelanggan setia seperti Anda. Terima kasih telah meluangkan waktu Anda untuk memberikan masukan kepada Traveloka.,2018-09-19 12:55:35,most relevant,com.traveloka.android
gp:AOqpTOFL0ci9-B0BQK6L1XEHTt8YWiJN57MLTokN-2jegDeQ2bwLqqnExy7S-t7PZn8yO-wy2CUUmzcLMbKYoe4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Saya sih liat orang pakai ini seru dan mudah cari tiket dll.tapi,waktu nunjukin voucher nya... ada yg gagal aku suka sedikit aja mohon di kasih petunjuknya yaa biar saya gk repot lagi kemana mana thanks..",3,0,No Reply,2018-09-18 15:51:29,"Terima kasih telah menggunakan Traveloka dan mohon maaf atas ketidaknyamanan yang Anda alami. Untuk membantu kami memahami kendala yang Anda alami, mohon bantuan Anda untuk menginformasikan kendala yang dimaksud beserta nomor pesanan Anda (jika ada) melalui email ke android@traveloka.com agar kami dapat membantu Anda lebih lanjut.",2018-09-20 13:13:10,most relevant,com.traveloka.android
gp:AOqpTOHRzChk_MynTZbdNOzbbctV2hHbz58tTn7ecY_pc3ib02XRhnP0Af1KLn-A1r6JBKijauwwoXeyIwhhzGw,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Saya berkali kali mau daftar paylater kok gak bisa.. pdahal tinggal ngambil foto aja.. selalu muncul ""maaf ada masalah pada sistem kami""",3,0,3.3.0,2018-09-21 07:08:42,"Terima kasih telah menggunakan Traveloka dan mohon maaf atas ketidaknyamanan yang Anda alami. Untuk membantu kami melakukan investigasi lebih lanjut, mohon bantuan Anda untuk menginformasikan langkah-langkah yang Anda lakukan sebelum aplikasi tertutup atau crash melalui email ke android@traveloka.com.",2018-09-21 17:00:50,most relevant,com.traveloka.android
gp:AOqpTOE_EUkE1xWAKzk5AkkhyGi95x1_Yqq_c1tGkImQoXIi49h6HZ0y-37WloqRlYEU0uHmhsbh_-ubD4-gULs,Antika Widyastuti,https://play-lh.googleusercontent.com/a/AATXAJyGXozDjimdgqmfqlAemfLofD5gtYMwg7GU0gcr=mo,Beberapa kali nyoba paylater tp selalu ditolak. Padahal isi data jg udah sesuai. Mungkin klo yg udah sering pesan tiket di traveloka aja kali ya yg disetujui. Paylater ini sebenarnya digunakan utk pengguna tertentu aja kli ya katanya utk memudahkan tp nyatanya gak.,2,0,3.3.0,2018-09-21 15:44:05,"Terima kasih telah menggunakan Traveloka dan mohon maaf atas ketidaknyamanan yang Anda alami. Untuk membantu kami melakukan investigasi lebih lanjut atas kendala yang Anda alami, mohon bantuan Anda untuk menginformasikan detail kendala Anda serta email ID yang Anda gunakan melalui email ke cs@traveloka.com.",2018-09-24 08:11:06,most relevant,com.traveloka.android
gp:AOqpTOGy6101G2LSQA-HpTlji3WKGF9hChzUMAi65L7h5HefLai87uAbrrCDuY1djqow0WHM9nEBcMzG4dPwPpg,apriell M.S,https://play-lh.googleusercontent.com/a-/AOh14Gh1aIsvDAuZzJ8_xIQXZSOJZd-_WxAOsKpnJivx,"Sangat terbantu dgn traveloka ...🌝 pesen tiket pesawat, kereta api ,sampe pesen hotel mudah dan cepat. Love traveloka. 😘",4,0,3.3.0,2018-09-21 21:53:07,Terima kasih karena telah setia menggunakan Traveloka. Kami sangat senang dapat membantu dan memudahkan Anda dalam merencanakan perjalanan Anda. Kami harap Anda selalu memiliki pengalaman yang menyenangkan dengan aplikasi Traveloka. Terima kasih telah memberikan tanggapan kepada Traveloka ;),2018-09-25 14:13:44,most relevant,com.traveloka.android
gp:AOqpTOGXQQF9gCC2oFMxMh21n8m97HJXMhzc50-YOfAKrAi_h5KB7SgKYzxmhRhjdCs2nYwO3N3RgONfM8vKufE,Ila Maya Suprapti,https://play-lh.googleusercontent.com/a-/AOh14GghcyFuHHFjb84HHq-_4MQa8Kss815iR3U0KBXd6BA,Untuk memakai kupon diskon kok gak bisaa yaa. Akhirnya pembayaran malah g dapat diakon seperti promo. Padahal sudah update aplikasi lhooo😑,3,0,3.3.0,2018-09-22 09:37:12,Terima kasih telah menggunakan Traveloka dan mohon maaf atas ketidaknyamanan yang Anda alami. Mohon bantuan Anda untuk menginformasikan screenshot pesan error yang Anda dapatkan melalui email ke android@traveloka.com agar kami dapat melakukan investigasi lebih lanjut.,2018-09-24 08:17:39,most relevant,com.traveloka.android
gp:AOqpTOGqQsjjYA6F9j385WmhHskUKcJHnMUSbnK9FvCJVW_6ITCCMwPYuAspJrnaMqQX3ettQqC3q90ff4hHVFE,Lian Manutur Naibaho SSos SH MSi,https://play-lh.googleusercontent.com/a-/AOh14GjyPwrMN_Olh1cY6uVBM4KXxPCsxSV3oSHzIxK0Lw,Segala keluhan harusnya ditindak lanjuti. Tolong jangan diabaikan. Karena dalam dunia bisnis setiap pelanggan adalah raja.,4,1,3.3.0,2018-09-26 11:04:22,Mohon maaf atas ketidaknyamanan yang Anda alami. Kami selalu menanggapi keluhan dan tanggapan dari para pengguna. Jika Anda memiliki kendala. Anda bisa menghubungi CS kami dengan mengirimkan pesan melalui Inbox yang terdapat pada aplikasi Anda atau menghubungi 0804-1500-308 untuk bantuan lebih lanjut. Terima kasih.,2018-10-02 13:45:18,most relevant,com.traveloka.android
gp:AOqpTOFgxRtDox2P_GxcK9ftr43D_cyzNFjPWu3W_1KQRNQ3z5iFZnNMuDo4yhduo3RBfVQrhHhm1Grk3IdfGw0,Cinta Libra,https://play-lh.googleusercontent.com/a/AATXAJxIUo3duVQws8sle4UjDUnD9v8e2dFwkKjqllSV=mo,Mau tanya kalau boking tiket tapi untuk orang lain caranya bagaimana bisa tidak kode bokingnya dikirimkan sama orang tersebut..??,3,0,3.3.0,2018-09-26 17:51:48,"Terima kasih telah menggunakan Traveloka. Anda bisa mengirimkan e-tiket dengan memilih tombol panan di kanan atas dan masukkan alamat email tujuan. Jika Anda masih memerlukan bantuan lebih lanjut, silakan kirim pesan ke CS kami melalui Inbox yang tersedia pada aplikasi Anda.",2018-09-27 16:21:22,most relevant,com.traveloka.android
gp:AOqpTOE1bS8A2p4W9wARVzEj0EU8pGFsPYG93QCh8EFAjoQ01hWt6Xkloxkn9_m4pTqBeKQJ8FAJa_IBUounm8o,Choirul Anwar Nuril Huda,https://play-lh.googleusercontent.com/a-/AOh14Gg9Y-jzkgDq1j2H0G-FQdccpJzFe00hsZnu9xJGaQ,"untuk memesan tiket pesawat atau memesan hotel sih ok ok saja selama ini tapi kalau memang refund ujung-ujungnya bertele-tele & tidak ada solusi selalu muter-muter di tempat tidak ada kemajuan, sebaiknya hilangkan aja sistem refund, sekalian ditiadakn supaya tidak ada lagi yg harus capek-capek balas email yg isinya sama dari CS yg sama ataupun berbeda & CS pun tidak usah pusing-pusing ngurusin refund. semoga tidak ada lagi costumer yg bernasib sama kedepannya. Terimakasih",2,0,3.3.0,2018-09-27 17:16:30,Mohon maaf atas ketidaknyamanan yang Anda alami. Pastikan Anda memahami syarat dan ketentuan mengenai refund sebelum Anda melakukan refund. Mohon bantuan Anda untuk menginformasikan nomor pesanan Anda ke android@traveloka.com agar kami dapat membantu Anda lebih lanjut. Terima kasih.,2018-10-01 14:49:11,most relevant,com.traveloka.android
gp:AOqpTOGaXQsV34CKHM0NWk_PBpktrglf-kwsZ4tAX1Wubu0vFmta8Kk6oWBiyab8okdlbyKxNY4YQa6aQtNKs34,Andi Lilis Apriany,https://play-lh.googleusercontent.com/a-/AOh14GjMCnam1hQ2OQLsKo2Xvgugpl-R9hZcmCu3cj6qjg,aplikasi ini sangat memudahkan untuk.mencari tiket pesawat dll. Hanya saja jadwal tiket pesawat yang tertera diaplikasi berbeda dengan jadwal tiket yang diberikan pada saat check in.,4,0,2.19.1,2018-09-29 06:48:58,"Terima kasih telah menggunakan Traveloka dan mohon maaf atas ketidaknyamanan yang Anda alami. Untuk membantu kami memahami kendala yang Anda alami, mohon bantuan Anda untuk menginformasikan kendala yang dimaksud beserta nomor pesanan Anda (jika ada) melalui email ke android@traveloka.com agar kami dapat membantu Anda lebih lanjut.",2018-10-02 14:15:52,most relevant,com.traveloka.android
